1,練習航海,鎮守府近海を航海し、艦隊の練度を高めよう！
2,長距離練習航海,外海まで足を延ばし、艦隊の練度を高めよう！
3,警備任務,鎮守府の担当海域をパトロールして、領海の安全を守ろう！
4,対潜警戒任務,水雷戦隊を編成し、領海内を索敵、対潜水警戒任務につこう！
5,海上護衛任務,輸送船団の安全を図るために、船団に同行して、これを護衛しよう！
6,防空射撃演習,敵艦載機襲来に備えて、対空射撃や回避運動の訓練をしよう！
7,観艦式予行,海の一大ページェント、「観艦式」の予行航海を実施しよう！
8,観艦式,今こそ日頃の訓練の成果を見せるとき！「観艦式」を挙行しよう！
9,タンカー護衛任務,油田地帯から燃料を満載して戻るタンカー船団を護衛しよう！
10,強行偵察任務,水上偵察機搭載艦などを活用し、敵艦隊の動向を探れ！
11,ボーキサイト輸送任務,資源集積地から母港に、ボーキサイトを輸送しよう！
12,資源輸送任務,資源国から輸入される資源を母港へ護衛し、無事輸送を完了しよう！
13,鼠輸送作戦,快速の駆逐艦を集中運用して、激戦の諸島へ物資を輸送しよう！
14,包囲陸戦隊撤収作戦,機動力のある小艦艇部隊を結集し、包囲下の部隊を収容しよう！
15,囮機動部隊支援作戦,敵機動部隊の戦力を誘引する空母を含む囮部隊で、主力艦隊を支援しよう！
16,艦隊決戦援護作戦,有力な艦隊を編成し、敵の背後側面を奇襲、主力の艦隊決戦を援護しよう！
17,敵地偵察作戦,精鋭の水雷戦隊を編成し、北方海域の敵情勢を強行偵察せよ！
18,航空機輸送作戦,有力な「航空母艦」多数を配備した艦隊を編成、前線に航空機を輸送せよ！
19,北号作戦,練度の高い「航空戦艦」複数を基幹とした、強行輸送船団を出航させよ！
20,潜水艦哨戒任務,潜水艦とその支援艦艇によって構成された艦隊で、北方海域の哨戒任務に当たれ！
21,北方鼠輸送作戦,水雷戦隊にドラム缶(輸送用)を積載し、北方方面への友軍の糧食補給を図れ！
22,艦隊演習,練度を向上させるための艦隊演習を行う。(資源獲得目的の遠征ではありません)
23,航空戦艦運用演習,練度の高い「航空戦艦」複数を基幹とした艦隊による総合演習を実施せよ！
25,通商破壊作戦,快速かつ打撃力のある重巡を中心にした艦隊によって、敵後方補給線を遮断せよ！
26,敵母港空襲作戦,敵潜水艦の哨戒線を長躯突破し、空母を伴った有力な機動艦隊で敵母港を叩け！
27,潜水艦通商破壊作戦,潜水艦２隻以上伴う艦隊で敵後方へ進出、通商破壊作戦を実施せよ！
28,西方海域封鎖作戦,潜水艦3隻以上で構成される艦隊で、西方海域の敵水上艦の活動を封鎖せよ！
29,潜水艦派遣演習,潜水艦3隻以上で構成される艦隊を編成、長距離派遣の演習を実施せよ！
30,潜水艦派遣作戦,潜水艦4隻以上で編成される艦隊を編成し、遠方の友軍勢力との連絡を試みよ！
31,海外艦との接触,潜水艦4隻以上で編成される艦隊を編成・派遣し、海外艦との邂逅を試みよ！
33,前衛支援任務,南方海域へ支援艦隊を出撃させ、主力艦隊の進撃を援護せよ！
34,艦隊決戦支援任務,南方海域へ決戦支援を行う別働隊を出撃させ、主力艦隊の艦隊決戦を援護せよ！
35,MO作戦,空母2隻を基幹とするMO機動部隊を出撃させ、南方海域の制海権を確保せよ！
36,水上機基地建設,水上機母艦2隻を含む艦隊を編成し、南方海域に哨戒用の水上機基地を建設せよ！
37,東京急行,水雷戦隊にドラム缶(輸送用)を満載し、南方方面友軍への鼠輸送作戦を遂行せよ！
38,東京急行(弐),水雷戦隊にドラム缶(輸送用)を可能な限り満載し、南方鼠輸送作戦を続行せよ！
39,遠洋潜水艦作戦,潜水母艦と多数の潜水艦による遠洋潜水艦作戦を実施、敵勢力の漸減に努めよ！
